kepoi_name,status
K04616.01,FALSE_POSITIVE
K04685.01,CANDIDATE
K04686.01,CANDIDATE
K04687.01,FALSE_POSITIVE
K04688.01,FALSE_POSITIVE
K04689.01,FALSE_POSITIVE
K04476.01,FALSE_POSITIVE
K04477.01,CANDIDATE
K03158.01,CONFIRMED
K04477.02,CONFIRMED
K04478.01,CONFIRMED
K04544.01,FALSE_POSITIVE
K04545.01,CANDIDATE
K04546.01,CANDIDATE
K04547.01,FALSE_POSITIVE
K07725.01,FALSE_POSITIVE
K04548.01,CANDIDATE
K04904.01,CANDIDATE
K04905.01,FALSE_POSITIVE
K04906.01,CANDIDATE
K04907.01,CANDIDATE
K04908.01,FALSE_POSITIVE
K07702.01,FALSE_POSITIVE
K03296.01,CONFIRMED
K03297.01,FALSE_POSITIVE
K03298.01,CONFIRMED
K03299.01,FALSE_POSITIVE
K01196.02,CONFIRMED
K07712.01,CANDIDATE
K04763.01,CANDIDATE
K04764.01,CANDIDATE
K04765.01,CONFIRMED
K04766.01,CANDIDATE
K04767.01,FALSE_POSITIVE
K07718.01,FALSE_POSITIVE
K04835.01,FALSE_POSITIVE
K04836.01,FALSE_POSITIVE
K04837.01,CANDIDATE
K04838.01,CANDIDATE
K04839.01,CANDIDATE
K04909.01,FALSE_POSITIVE
K04910.01,FALSE_POSITIVE
K03223.01,FALSE_POSITIVE
K04911.01,FALSE_POSITIVE
K04912.01,CANDIDATE
K03300.01,FALSE_POSITIVE
K03300.02,FALSE_POSITIVE
K07703.01,CANDIDATE
K03301.01,CANDIDATE
K03302.01,FALSE_POSITIVE
K03303.01,CONFIRMED
K04768.01,CANDIDATE
K04769.01,FALSE_POSITIVE
K04770.01,FALSE_POSITIVE
K04771.01,CANDIDATE
K04772.01,CANDIDATE
K04840.01,CANDIDATE
K03214.01,CONFIRMED
K04841.01,FALSE_POSITIVE
K04842.01,FALSE_POSITIVE
K04843.01,FALSE_POSITIVE
K04913.01,CANDIDATE
K04914.01,CANDIDATE
K03224.01,CANDIDATE
K03225.01,CANDIDATE
K03226.01,FALSE_POSITIVE
K03304.01,FALSE_POSITIVE
K03305.01,CONFIRMED
K03306.01,CONFIRMED
K03307.01,CANDIDATE
K03308.01,CONFIRMED
K07704.01,CANDIDATE
K03205.01,FALSE_POSITIVE
K04772.02,CONFIRMED
K04773.01,CANDIDATE
K04774.01,CANDIDATE
K04775.01,CANDIDATE
K04844.01,CANDIDATE
K04845.01,FALSE_POSITIVE
K04846.01,CANDIDATE
K04847.01,FALSE_POSITIVE
K04848.01,CANDIDATE
K03227.01,FALSE_POSITIVE
K03230.01,FALSE_POSITIVE
K07719.01,FALSE_POSITIVE
K03231.01,FALSE_POSITIVE
K03232.01,CONFIRMED
K00279.03,CONFIRMED
K01196.03,CONFIRMED
K03308.02,CONFIRMED
K03309.01,CANDIDATE
K03310.01,CANDIDATE
K03311.01,CONFIRMED
K04776.01,CANDIDATE
K04777.01,CONFIRMED
K04778.01,FALSE_POSITIVE
K07706.01,CANDIDATE
K04779.01,FALSE_POSITIVE
K04780.01,CANDIDATE
K04849.01,CANDIDATE
K04850.01,CANDIDATE
K03216.01,FALSE_POSITIVE
K04851.01,FALSE_POSITIVE
K07713.01,FALSE_POSITIVE
K04852.01,CANDIDATE
K01101.02,CANDIDATE
K03234.01,CONFIRMED
K03236.01,CANDIDATE
K03237.01,CONFIRMED
K03238.01,FALSE_POSITIVE
K03239.01,FALSE_POSITIVE
K03312.01,CANDIDATE
K03313.01,CANDIDATE
K03314.01,FALSE_POSITIVE
K03315.01,CONFIRMED
K07726.01,FALSE_POSITIVE
K03316.01,CONFIRMED
K04781.01,FALSE_POSITIVE
K03206.01,CANDIDATE
K04782.01,CANDIDATE
K04783.01,FALSE_POSITIVE
K04784.01,FALSE_POSITIVE
K04853.01,CANDIDATE
K04854.01,CANDIDATE
K04855.01,FALSE_POSITIVE
K04856.01,CANDIDATE
K04857.01,CANDIDATE
K03240.01,FALSE_POSITIVE
K07714.01,FALSE_POSITIVE
K03241.01,FALSE_POSITIVE
K03242.01,FALSE_POSITIVE
K03243.01,FALSE_POSITIVE
K03245.01,CONFIRMED
K01132.02,FALSE_POSITIVE
K03324.01,CONFIRMED
K03325.01,FALSE_POSITIVE
K01422.04,CONFIRMED
K03326.01,FALSE_POSITIVE
K03327.01,FALSE_POSITIVE
K04785.01,FALSE_POSITIVE
K04786.01,FALSE_POSITIVE
K04787.01,FALSE_POSITIVE
K04788.01,FALSE_POSITIVE
K04789.01,FALSE_POSITIVE
K04858.01,FALSE_POSITIVE
K04859.01,CANDIDATE
K04860.01,FALSE_POSITIVE
K03217.01,FALSE_POSITIVE
K04861.01,CANDIDATE
K03246.01,CONFIRMED
K03247.01,FALSE_POSITIVE
K03248.01,CANDIDATE
K07715.01,CANDIDATE
K03249.01,FALSE_POSITIVE
K03250.01,FALSE_POSITIVE
K03318.01,CONFIRMED
K01404.02,CANDIDATE
K03318.02,CANDIDATE
K07720.01,FALSE_POSITIVE
K03319.01,CONFIRMED
K03319.02,CONFIRMED
K04790.01,CANDIDATE
K04791.01,FALSE_POSITIVE
K00806.05,FALSE_POSITIVE
K03208.01,CANDIDATE
K04792.01,CANDIDATE
K04862.01,CANDIDATE
K04863.01,FALSE_POSITIVE
K04864.01,CANDIDATE
K04865.01,FALSE_POSITIVE
K04866.01,FALSE_POSITIVE
K03252.01,FALSE_POSITIVE
K03253.01,FALSE_POSITIVE
K03254.01,FALSE_POSITIVE
K03255.01,CONFIRMED
K03256.01,FALSE_POSITIVE
K03319.03,CONFIRMED
K03320.01,CANDIDATE
K03321.01,FALSE_POSITIVE
K03322.01,FALSE_POSITIVE
K03323.01,CANDIDATE
K07721.01,FALSE_POSITIVE
K04793.01,CANDIDATE
K04794.01,CANDIDATE
K04795.01,FALSE_POSITIVE
K04796.01,FALSE_POSITIVE
K04797.01,CANDIDATE
K04867.01,FALSE_POSITIVE
K04868.01,FALSE_POSITIVE
K04869.01,FALSE_POSITIVE
K04870.01,FALSE_POSITIVE
K03218.01,FALSE_POSITIVE
K01151.03,CONFIRMED
K03257.01,FALSE_POSITIVE
K03258.01,CANDIDATE
K03259.01,CANDIDATE
K03260.01,CONFIRMED
K03328.01,FALSE_POSITIVE
K03329.01,CANDIDATE
K07716.01,CANDIDATE
K03330.01,CONFIRMED
K03331.01,FALSE_POSITIVE
K03332.01,FALSE_POSITIVE
K04798.01,FALSE_POSITIVE
K04799.01,CANDIDATE
K07722.01,FALSE_POSITIVE
K04800.01,FALSE_POSITIVE
K04801.01,CANDIDATE
K03209.01,CANDIDATE
K04871.01,CANDIDATE
K04872.01,FALSE_POSITIVE
K04873.01,FALSE_POSITIVE
K04874.01,FALSE_POSITIVE
K04875.01,CANDIDATE
K03261.01,CONFIRMED
K03262.01,CONFIRMED
K03263.01,CANDIDATE
K07707.01,FALSE_POSITIVE
K03264.01,CANDIDATE
K03265.01,FALSE_POSITIVE
K04732.01,FALSE_POSITIVE
K03200.01,FALSE_POSITIVE
K04733.01,CONFIRMED
K04734.01,FALSE_POSITIVE
K04735.01,CANDIDATE
K04802.01,FALSE_POSITIVE
K04803.01,CONFIRMED
K04804.01,CANDIDATE
K04805.01,FALSE_POSITIVE
K04806.01,FALSE_POSITIVE
K04807.01,FALSE_POSITIVE
K04876.01,FALSE_POSITIVE
K04877.01,CANDIDATE
K04878.01,CANDIDATE
K04879.01,FALSE_POSITIVE
K04880.01,FALSE_POSITIVE
K03266.01,CONFIRMED
K01151.04,CANDIDATE
K03267.01,CONFIRMED
K03268.01,FALSE_POSITIVE
K03269.01,FALSE_POSITIVE
K07708.01,CANDIDATE
K04736.01,FALSE_POSITIVE
K04737.01,CANDIDATE
K04738.01,FALSE_POSITIVE
K04739.01,FALSE_POSITIVE
K04740.01,FALSE_POSITIVE
K04808.01,CANDIDATE
K04809.01,FALSE_POSITIVE
K04810.01,CANDIDATE
K04811.01,CANDIDATE
K03211.01,FALSE_POSITIVE
K04812.01,FALSE_POSITIVE
K03219.01,FALSE_POSITIVE
K04881.01,CANDIDATE
K04882.01,FALSE_POSITIVE
K04883.01,FALSE_POSITIVE
K04884.01,FALSE_POSITIVE
K04885.01,CANDIDATE
K03270.01,FALSE_POSITIVE
K03271.01,CONFIRMED
K03271.02,CANDIDATE
K03273.01,FALSE_POSITIVE
K03274.01,CONFIRMED
K04741.01,FALSE_POSITIVE
K07709.01,FALSE_POSITIVE
K04742.01,CONFIRMED
K03202.01,CANDIDATE
K04743.01,FALSE_POSITIVE
K04744.01,FALSE_POSITIVE
K04813.01,CANDIDATE
K04814.01,FALSE_POSITIVE
K04815.01,CANDIDATE
K04816.01,FALSE_POSITIVE
K04817.01,FALSE_POSITIVE
K04886.01,CANDIDATE
K04887.01,FALSE_POSITIVE
K04888.01,FALSE_POSITIVE
K04889.01,FALSE_POSITIVE
K04890.01,CANDIDATE
K01042.02,FALSE_POSITIVE
K03275.01,FALSE_POSITIVE
K03276.01,FALSE_POSITIVE
K01151.05,CANDIDATE
K03277.01,CONFIRMED
K03278.01,FALSE_POSITIVE
K04745.01,CONFIRMED
K04746.01,FALSE_POSITIVE
K04747.01,CONFIRMED
K04748.01,CONFIRMED
K07710.01,FALSE_POSITIVE
K04749.01,CANDIDATE
K04818.01,CANDIDATE
K04819.01,FALSE_POSITIVE
K04820.01,CANDIDATE
K04821.01,FALSE_POSITIVE
K03212.01,FALSE_POSITIVE
K03220.01,CONFIRMED
K04891.01,CANDIDATE
K04892.01,CANDIDATE
K04893.01,CANDIDATE
K04894.01,FALSE_POSITIVE
K07723.01,FALSE_POSITIVE
K03279.01,CONFIRMED
K03280.01,CONFIRMED
K03282.01,CONFIRMED
K03284.01,CONFIRMED
K03285.01,FALSE_POSITIVE
K07698.01,FALSE_POSITIVE
K04750.01,CANDIDATE
K04751.01,FALSE_POSITIVE
K04752.01,FALSE_POSITIVE
K03203.01,CANDIDATE
K04753.01,FALSE_POSITIVE
K04822.01,CANDIDATE
K04823.01,CANDIDATE
K04824.01,FALSE_POSITIVE
K04825.01,FALSE_POSITIVE
K04826.01,CANDIDATE
K04895.01,CANDIDATE
K04896.01,CANDIDATE
K04897.01,FALSE_POSITIVE
K04898.01,CANDIDATE
K04899.01,FALSE_POSITIVE
K03286.01,CONFIRMED
K03287.01,CONFIRMED
K03288.01,CONFIRMED
K01192.02,FALSE_POSITIVE
K03289.01,FALSE_POSITIVE
K04754.01,CANDIDATE
K04755.01,CANDIDATE
K04756.01,CANDIDATE
K07699.01,FALSE_POSITIVE
K04757.01,FALSE_POSITIVE
K04758.01,FALSE_POSITIVE
K04827.01,CANDIDATE
K04828.01,FALSE_POSITIVE
K04829.01,CANDIDATE
K04829.02,FALSE_POSITIVE
K04830.01,FALSE_POSITIVE
K04900.01,CANDIDATE
K03221.01,FALSE_POSITIVE
K04901.01,FALSE_POSITIVE
K04902.01,CANDIDATE
K04903.01,FALSE_POSITIVE
K03291.01,FALSE_POSITIVE
K03292.01,FALSE_POSITIVE
K03293.01,FALSE_POSITIVE
K03294.01,FALSE_POSITIVE
K03295.01,FALSE_POSITIVE
K04759.01,CANDIDATE
K04760.01,FALSE_POSITIVE
K04761.01,FALSE_POSITIVE
K04762.01,CANDIDATE
K03204.01,FALSE_POSITIVE
K07700.01,CANDIDATE
K03213.01,FALSE_POSITIVE
K04831.01,FALSE_POSITIVE
K04832.01,FALSE_POSITIVE
K04833.01,CANDIDATE
K04834.01,CANDIDATE
K07711.01,CANDIDATE
K03501.01,FALSE_POSITIVE
K03502.01,FALSE_POSITIVE
K03503.01,CONFIRMED
K03504.01,FALSE_POSITIVE
K03505.01,FALSE_POSITIVE
K07717.01,FALSE_POSITIVE
