kepoi_name,exoplanet_archive_disposition,disposition_using_kepler_data,status,planet_like_prob,planet_like_label,kepid_x,kepler_name_x,koi_score,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_period,koi_period_err1,koi_period_err2,koi_time0bk,koi_time0bk_err1,koi_time0bk_err2,koi_impact,koi_impact_err1,koi_impact_err2,koi_duration,koi_duration_err1,koi_duration_err2,koi_depth,koi_depth_err1,koi_depth_err2,koi_prad,koi_prad_err1,koi_prad_err2,koi_teq,koi_teq_err1,koi_teq_err2,koi_insol,koi_insol_err1,koi_insol_err2,koi_model_snr,koi_tce_plnt_num,koi_tce_delivname,koi_steff,koi_steff_err1,koi_steff_err2,koi_slogg,koi_slogg_err1,koi_slogg_err2,koi_srad,koi_srad_err1,koi_srad_err2,ra,dec,koi_kepmag,kepid_y,kepler_name_y,koi_disposition,koi_pdisposition
K03650.01,FALSE POSITIVE,FALSE POSITIVE,NOT_EXOPLANET,0.006928578,0,6227560,,0.0,0,1,0,0,2.401751509,2.251e-06,-2.251e-06,133.711919,0.000829,-0.000829,5.25,36.62,-0.078,2.0835,0.0346,-0.0346,25044.0,360.0,-360.0,268.75,20.75,-20.75,888.0,,,146.91,49.01,-38.6,83.1,1.0,q1_q17_dr25_tce,4577.0,162.0,-162.0,4.688,0.052,-0.032,0.557,0.043,-0.043,297.75845,41.513641,15.927,6227560,,FALSE POSITIVE,FALSE POSITIVE
K03651.01,FALSE POSITIVE,FALSE POSITIVE,NOT_EXOPLANET,0.03595747,0,5866104,,0.0,0,1,0,0,36.97709537,4.26e-05,-4.26e-05,133.6264,0.00127,-0.00127,0.75,0.067,-0.051,5.2063,0.0231,-0.0231,217140.0,1317.0,-1317.0,59.66,0.0,0.0,546.0,,,21.08,0.0,0.0,204.9,1.0,q1_q17_dr25_tce,5780.0,,,4.438,,,1.0,,,288.44485,41.172604,17.066,5866104,,FALSE POSITIVE,FALSE POSITIVE
K03652.01,FALSE POSITIVE,FALSE POSITIVE,NOT_EXOPLANET,0.008470344,0,8256044,,0.0,0,1,0,0,16.371883638,5.175e-06,-5.175e-06,140.020073,0.000352,-0.000352,1.066,0.11,-0.079,3.44467,0.00654,-0.00654,65927.0,127.0,-127.0,70.73,18.99,-25.34,840.0,,,117.9,98.11,-74.91,639.8,1.0,q1_q17_dr25_tce,5642.0,186.0,-169.0,4.114,0.357,-0.153,1.415,0.38,-0.507,298.67557,44.175732,15.879,8256044,,FALSE POSITIVE,FALSE POSITIVE
K03653.01,FALSE POSITIVE,FALSE POSITIVE,NOT_EXOPLANET,0.12948985,0,8780968,,0.0,0,1,0,0,2.617284592,1.018e-06,-1.018e-06,132.390683,0.000403,-0.000403,0.743,0.012,-0.013,9.5545,0.0102,-0.0102,231450.0,232.0,-232.0,162.67,62.21,-115.5,2013.0,,,3885.11,4792.2,-3602.81,1215.2,1.0,q1_q17_dr25_tce,5510.0,219.0,-197.0,3.641,0.904,-0.226,2.649,1.013,-1.881,300.33557,44.986271,16.304,8780968,,FALSE POSITIVE,FALSE POSITIVE
K03654.01,FALSE POSITIVE,FALSE POSITIVE,NOT_EXOPLANET,0.030291121,0,6960446,,0.0,0,1,0,0,10.14873521,1.271e-05,-1.271e-05,136.02501,0.00137,-0.00137,0.965,0.261,-0.129,5.603,0.0311,-0.0311,116120.0,530.0,-530.0,71.11,20.47,-14.87,1045.0,,,281.19,238.91,-130.56,250.9,1.0,q1_q17_dr25_tce,6366.0,176.0,-242.0,4.239,0.18,-0.18,1.296,0.373,-0.271,295.19583,42.418911,16.798,6960446,,FALSE POSITIVE,FALSE POSITIVE
K03655.01,FALSE POSITIVE,FALSE POSITIVE,NOT_EXOPLANET,0.0073795468,0,8264097,,0.0,0,1,0,0,2.897436854,1.092e-06,-1.092e-06,132.038502,0.000417,-0.000417,0.642,0.02,-0.02,3.2833,0.00956,-0.00956,289810.0,1236.0,-1236.0,64.69,0.0,0.0,1277.0,,,627.44,0.0,0.0,274.2,1.0,q1_q17_dr25_tce,5780.0,,,4.438,,,1.0,,,300.87231,44.144318,17.687,8264097,,FALSE POSITIVE,FALSE POSITIVE
K03728.01,CONFIRMED,CANDIDATE,CONFIRMED_EXOPLANET,0.9224153,1,7515679,Kepler-1517 b,0.0,0,0,0,0,5.546083089,8.258e-06,-8.258e-06,133.50348,0.00123,-0.00123,0.902,0.013,-0.629,2.717,0.11,-0.11,2211.0,45.5,-45.5,22.27,2.2,-12.5,2336.0,,,7027.09,2437.78,-5901.49,56.4,1.0,q1_q17_dr25_tce,7358.0,203.0,-330.0,3.538,0.58,-0.061,4.037,0.4,-2.266,287.80722,43.188782,12.252,7515679,Kepler-1517 b,CONFIRMED,CANDIDATE
K03729.01,FALSE POSITIVE,FALSE POSITIVE,NOT_EXOPLANET,0.0018284094,0,9674592,,0.0,1,0,1,0,6.87366398,1.068e-05,-1.068e-05,136.13966,0.00134,-0.00134,0.958,1.367,-0.043,7.0845,0.062,-0.062,9766.9,77.4,-77.4,12.01,2.87,-1.03,859.0,,,128.52,95.83,-34.52,143.2,2.0,q1_q17_dr25_tce,5662.0,186.0,-186.0,4.575,0.04,-0.16,0.805,0.192,-0.069,300.41293,46.380669,15.933,9674592,,FALSE POSITIVE,FALSE POSITIVE
K03729.02,FALSE POSITIVE,FALSE POSITIVE,NOT_EXOPLANET,0.0033076198,0,9674592,,0.0,1,0,1,0,6.87366412,,,132.4575658,,,,,,4.85,,,,,,,,,,,,,,,,1.0,q1_q17_dr25_tce,,,,,,,,,,300.41293,46.380669,15.933,9674592,,FALSE POSITIVE,FALSE POSITIVE
K03730.01,FALSE POSITIVE,FALSE POSITIVE,NOT_EXOPLANET,0.024865465,0,10879213,,0.0,0,1,0,0,0.668483494,2.88e-07,-2.88e-07,132.156558,0.000497,-0.000497,0.773,0.11,-0.081,2.4129,0.0232,-0.0232,722770.0,3395.0,-3395.0,138.76,0.0,0.0,2082.0,,,4439.53,0.0,0.0,334.3,1.0,q1_q17_dr25_tce,5780.0,,,4.438,,,1.0,,,298.25992,48.218964,18.792,10879213,,FALSE POSITIVE,FALSE POSITIVE
K03731.01,FALSE POSITIVE,FALSE POSITIVE,NOT_EXOPLANET,0.0072572757,0,5650314,,0.086,0,0,1,0,1.070272827,4.94e-07,-4.94e-07,131.835891,0.000413,-0.000413,1.269,0.267,-0.175,4.2844,0.0196,-0.0196,9886.5,40.5,-40.5,28.73,3.17,-1.93,1224.0,,,528.52,219.1,-129.89,284.0,1.0,q1_q17_dr25_tce,4628.0,162.0,-162.0,4.651,0.024,-0.056,0.653,0.072,-0.044,299.17062,40.871059,15.926,5650314,,FALSE POSITIVE,FALSE POSITIVE
K07799.01,FALSE POSITIVE,FALSE POSITIVE,NOT_EXOPLANET,0.0015060303,0,6962901,,0.0,0,1,1,0,0.977170246,1.53e-06,-1.53e-06,132.23783,0.00114,-0.00114,0.646,0.102,-0.242,3.4842,0.0572,-0.0572,151.1,2.0,-2.0,5.08,1.2,-2.4,3226.0,,,25506.22,18365.12,-19376.75,94.5,1.0,q1_q17_dr25_tce,5596.0,168.0,-201.0,3.48,0.336,-0.12,3.938,0.93,-1.861,295.74759,42.40163,12.439,6962901,,FALSE POSITIVE,FALSE POSITIVE
K03732.01,FALSE POSITIVE,FALSE POSITIVE,NOT_EXOPLANET,0.006949045,0,8302302,,0.0,0,1,0,0,1.135930136,3.23e-07,-3.23e-07,132.396556,0.000264,-0.000264,1.282,0.12,-0.084,4.5036,0.0109,-0.0109,27247.0,58.1,-58.1,52.05,15.82,-5.29,1836.0,,,2683.57,2486.11,-834.54,551.7,1.0,q1_q17_dr25_tce,6247.0,198.0,-242.0,4.489,0.052,-0.208,0.954,0.29,-0.097,292.80579,44.23605,15.524,8302302,,FALSE POSITIVE,FALSE POSITIVE
K03807.01,FALSE POSITIVE,FALSE POSITIVE,NOT_EXOPLANET,0.052454717,0,10581918,,0.0,1,0,0,0,1.801863222,7.95e-07,-7.95e-07,132.48449,0.000374,-0.000374,0.681,0.017,-0.017,7.2492,0.0259,-0.0259,262580.0,703.0,-703.0,145.36,29.52,-54.79,2721.0,,,12930.1,8251.0,-8701.88,463.4,2.0,q1_q17_dr25_tce,7479.0,235.0,-314.0,3.919,0.308,-0.132,2.324,0.472,-0.876,283.0437,47.80463,12.796,10581918,,FALSE POSITIVE,FALSE POSITIVE
K03808.01,FALSE POSITIVE,FALSE POSITIVE,NOT_EXOPLANET,0.0142332,0,3851949,,0.006,0,1,0,0,54.77145968,6.895e-05,-6.895e-05,143.74319,0.00101,-0.00101,0.637,0.007,-0.009,37.1871,0.0787,-0.0787,7224.8,11.2,-11.2,34.32,10.38,-19.26,777.0,,,86.12,81.37,-71.73,751.1,1.0,q1_q17_dr25_tce,5145.0,179.0,-179.0,3.466,0.623,-0.208,3.866,1.169,-2.17,291.90335,38.925861,13.939,3851949,,FALSE POSITIVE,FALSE POSITIVE
K03809.01,FALSE POSITIVE,FALSE POSITIVE,NOT_EXOPLANET,0.00042914524,0,9097892,,0.0,0,1,1,0,1.674690886,8.9e-07,-8.9e-07,132.172107,0.000455,-0.000455,1.212,1.44,-0.133,2.0179,0.0236,-0.0236,527.4,5.3,-5.3,29.78,9.06,-4.17,1813.0,,,2558.96,2219.69,-899.75,118.6,1.0,q1_q17_dr25_tce,6397.0,151.0,-207.0,4.331,0.105,-0.195,1.157,0.352,-0.162,294.95724,45.405151,13.593,9097892,,FALSE POSITIVE,FALSE POSITIVE
K03810.01,CANDIDATE,CANDIDATE,CANDIDATE,0.94703126,1,5769943,,0.0,0,0,0,0,1.013774136,4.35e-06,-4.35e-06,131.95888,0.00195,-0.00195,1.161,10.54,-0.021,1.2774,0.0147,-0.0147,33878.0,262.0,-262.0,18.59,1.34,-1.48,827.0,,,110.51,22.15,-22.05,166.8,1.0,q1_q17_dr25_tce,3644.0,40.0,-51.0,4.871,0.033,-0.033,0.389,0.028,-0.031,283.7504,41.08601,16.758,5769943,,CANDIDATE,CANDIDATE
K03811.01,CANDIDATE,CANDIDATE,CANDIDATE,0.99794275,1,4638237,,0.996,0,0,0,0,290.1401717,0.0002616,-0.0002616,307.250618,0.00065,-0.00065,0.935,5.681,-0.029,2.1583,0.0472,-0.0472,4836.0,87.2,-87.2,11.58,1.84,-2.25,304.0,,,2.02,0.85,-0.77,69.1,1.0,q1_q17_dr25_tce,5631.0,84.0,-67.0,4.212,0.188,-0.101,1.263,0.2,-0.245,286.15311,39.714901,13.906,4638237,,CANDIDATE,CANDIDATE
K02078.02,CONFIRMED,CANDIDATE,CONFIRMED_EXOPLANET,0.9997187,1,9351316,Kepler-1086 c,1.0,0,0,0,0,161.515617,0.001258,-0.001258,176.49978,0.00636,-0.00636,0.001,0.511,-0.001,6.548,0.288,-0.288,2215.3,97.1,-97.1,2.88,0.12,-0.13,211.0,,,0.47,0.08,-0.07,25.2,2.0,q1_q17_dr25_tce,4243.0,84.0,-84.0,4.637,0.027,-0.02,0.641,0.025,-0.03,295.25116,45.842972,15.561,9351316,Kepler-1086 c,CONFIRMED,CANDIDATE
K03884.01,FALSE POSITIVE,FALSE POSITIVE,NOT_EXOPLANET,0.0001715336,0,4579313,,0.0,0,1,1,1,2.112405306,3.989e-06,-3.989e-06,132.97515,0.00152,-0.00152,1.207,5.812,-0.038,2.5845,0.0795,-0.0795,489.0,14.1,-14.1,19.01,3.98,-1.41,1225.0,,,533.2,345.29,-124.03,42.2,1.0,q1_q17_dr25_tce,5562.0,169.0,-152.0,4.601,0.034,-0.136,0.756,0.158,-0.056,296.05884,39.613579,14.811,4579313,,FALSE POSITIVE,FALSE POSITIVE
K03885.01,FALSE POSITIVE,FALSE POSITIVE,NOT_EXOPLANET,0.0137147065,0,11614528,,0.0,0,0,1,0,1.870990236,3.576e-06,-3.576e-06,132.68949,0.00177,-0.00177,1.193,11.56,-0.04,1.8432,0.0721,-0.0721,642.6,21.1,-21.1,26.1,8.34,-2.98,1668.0,,,1824.38,1723.64,-601.05,37.4,1.0,q1_q17_dr25_tce,6384.0,179.0,-246.0,4.419,0.067,-0.202,1.086,0.347,-0.124,293.84235,49.66206,15.546,11614528,,FALSE POSITIVE,FALSE POSITIVE
K03886.01,FALSE POSITIVE,FALSE POSITIVE,NOT_EXOPLANET,0.009509699,0,8848288,,0.0,0,1,0,0,5.56648691,1.752e-05,-1.752e-05,133.03305,0.00259,-0.00259,0.935,0.004,-0.013,10.931,0.297,-0.297,694.9,8.0,-8.0,43.67,7.25,-10.88,2618.0,,,11089.75,4895.01,-5481.83,103.6,1.0,q1_q17_dr25_tce,4694.0,69.0,-126.0,2.564,0.027,-0.027,12.701,2.109,-3.164,301.0473,45.087631,9.837,8848288,,FALSE POSITIVE,FALSE POSITIVE
K07787.01,FALSE POSITIVE,FALSE POSITIVE,NOT_EXOPLANET,0.004567124,0,6590307,,0.0,0,0,1,0,1.33253834,2.825e-05,-2.825e-05,132.066,0.0138,-0.0138,0.164,0.296,-0.164,3.737,0.508,-0.508,62.4,8.0,-8.0,0.64,0.15,-0.06,1453.0,,,1051.03,738.65,-283.59,9.7,1.0,q1_q17_dr25_tce,5520.0,166.0,-166.0,4.572,0.038,-0.161,0.818,0.188,-0.075,286.43134,42.098339,15.627,6590307,,FALSE POSITIVE,FALSE POSITIVE
K03887.01,FALSE POSITIVE,FALSE POSITIVE,NOT_EXOPLANET,0.0002893622,0,5308419,,0.0,0,1,1,1,1.241483276,2.809e-06,-2.809e-06,132.10028,0.00201,-0.00201,1.227,3.02,-0.15,2.195,0.104,-0.104,141.0,5.4,-5.4,27.25,8.59,-3.68,1847.0,,,2761.35,2567.19,-939.96,32.0,1.0,q1_q17_dr25_tce,6140.0,170.0,-191.0,4.394,0.101,-0.203,1.053,0.332,-0.142,299.51083,40.474548,13.482,5308419,,FALSE POSITIVE,FALSE POSITIVE
K03656.01,FALSE POSITIVE,FALSE POSITIVE,NOT_EXOPLANET,0.01888175,0,6312521,,0.0,0,1,0,0,3.01551943,1.267e-06,-1.267e-06,132.943637,0.000436,-0.000436,0.851,0.086,-0.069,3.1713,0.0114,-0.0114,159580.0,517.0,-517.0,155.81,56.44,-104.8,1837.0,,,2692.16,3147.75,-2442.77,367.3,1.0,q1_q17_dr25_tce,5299.0,211.0,-190.0,3.672,0.818,-0.273,2.761,1.0,-1.857,298.88235,41.66333,17.357,6312521,,FALSE POSITIVE,FALSE POSITIVE
K03657.01,FALSE POSITIVE,FALSE POSITIVE,NOT_EXOPLANET,0.061345864,0,4579321,,0.0,0,1,0,0,2.112395777,1.051e-06,-1.051e-06,134.034448,0.000531,-0.000531,1.285,0.551,-0.303,2.7714,0.0332,-0.0332,262600.0,1426.0,-1426.0,115.26,0.0,0.0,1419.0,,,957.45,0.0,0.0,243.2,1.0,q1_q17_dr25_tce,5780.0,,,4.438,,,1.0,,,296.06036,39.615211,17.388,4579321,,FALSE POSITIVE,FALSE POSITIVE
K01932.02,CONFIRMED,CANDIDATE,CONFIRMED_EXOPLANET,0.997122,1,5202905,Kepler-340 b,0.636,0,0,0,0,14.8444836,0.0002121,-0.0002121,143.576,0.0115,-0.0115,0.149,0.316,-0.149,6.091,0.356,-0.356,177.9,19.2,-19.2,2.49,0.44,-0.54,1092.0,,,336.06,159.3,-148.42,10.5,2.0,q1_q17_dr25_tce,6642.0,105.0,-157.0,4.057,0.174,-0.116,1.846,0.326,-0.399,295.93347,40.300571,12.345,5202905,Kepler-340 b,CONFIRMED,CANDIDATE
K03658.01,FALSE POSITIVE,FALSE POSITIVE,NOT_EXOPLANET,0.003534324,0,1575690,,0.0,0,1,0,0,2.252417903,1.261e-06,-1.261e-06,132.436339,0.00051,-0.00051,1.198,24.64,-0.027,1.9767,0.0224,-0.0224,32296.0,306.0,-306.0,27.09,1.3,-1.94,782.0,,,88.43,15.77,-18.1,129.5,1.0,q1_q17_dr25_tce,3979.0,71.0,-79.0,4.699,0.042,-0.018,0.544,0.026,-0.039,291.8819,37.18911,15.625,1575690,,FALSE POSITIVE,FALSE POSITIVE
K03659.01,FALSE POSITIVE,FALSE POSITIVE,NOT_EXOPLANET,0.0018728336,0,4386047,,0.0,0,1,0,0,2.900613144,1.145e-06,-1.145e-06,133.422871,0.000465,-0.000465,0.334,0.01,-0.018,3.7357,0.0116,-0.0116,165480.0,372.0,-372.0,38.63,11.5,-4.94,1289.0,,,650.9,589.45,-221.47,617.7,1.0,q1_q17_dr25_tce,5977.0,188.0,-209.0,4.472,0.081,-0.189,0.931,0.277,-0.119,296.43033,39.443489,16.943,4386047,,FALSE POSITIVE,FALSE POSITIVE
K03660.01,FALSE POSITIVE,FALSE POSITIVE,NOT_EXOPLANET,0.0009807115,0,5103998,,0.0,0,1,0,0,174.7697122,0.0001151,-0.0001151,172.472322,0.000543,-0.000543,1.036,4.346,-0.339,2.3569,0.0317,-0.0317,68139.0,832.0,-832.0,38.79,9.36,-3.13,294.0,,,1.77,1.26,-0.44,100.4,1.0,q1_q17_dr25_tce,5704.0,152.0,-169.0,4.575,0.04,-0.16,0.804,0.194,-0.065,293.15765,40.262711,15.549,5103998,,FALSE POSITIVE,FALSE POSITIVE
K03733.01,FALSE POSITIVE,FALSE POSITIVE,NOT_EXOPLANET,0.014167185,0,9655858,,0.0,0,1,0,0,31.43284649,4.571e-05,-4.571e-05,138.11259,0.00141,-0.00141,0.815,0.596,-0.194,5.3541,0.0602,-0.0602,178870.0,1480.0,-1480.0,57.21,0.0,0.0,577.0,,,26.19,0.0,0.0,154.0,1.0,q1_q17_dr25_tce,5780.0,,,4.438,,,1.0,,,294.48807,46.334099,17.481,9655858,,FALSE POSITIVE,FALSE POSITIVE
K02004.03,CANDIDATE,CANDIDATE,CANDIDATE,0.99420124,1,12154526,,0.873,0,0,0,0,1.72110057,1.601e-05,-1.601e-05,132.76068,0.00831,-0.00831,0.767,0.033,-0.544,1.922,0.258,-0.258,29.7,4.2,-4.2,0.7,0.11,-0.09,1607.0,,,1575.2,698.44,-467.13,9.3,3.0,q1_q17_dr25_tce,5700.0,114.0,-114.0,4.327,0.103,-0.115,1.176,0.182,-0.149,288.64627,50.788979,13.351,12154526,,CANDIDATE,CANDIDATE
K03734.01,FALSE POSITIVE,FALSE POSITIVE,NOT_EXOPLANET,0.00023765999,0,10275880,,0.0,0,1,1,1,9.72675447,1.392e-05,-1.392e-05,139.47635,0.0012,-0.0012,4.676,1.538,-0.542,19.6214,0.0544,-0.0544,6641.6,21.1,-21.1,995.22,188.6,-350.1,1363.0,,,815.99,455.09,-509.16,366.4,1.0,q1_q17_dr25_tce,6327.0,154.0,-173.0,3.84,0.285,-0.095,2.433,0.461,-0.856,292.58875,47.393799,13.211,10275880,,FALSE POSITIVE,FALSE POSITIVE
K03735.01,FALSE POSITIVE,FALSE POSITIVE,NOT_EXOPLANET,0.0023974217,0,2166200,,0.0,0,1,0,0,8.096939227,6.569e-06,-6.569e-06,132.646466,0.000911,-0.000911,0.786,0.302,-0.175,2.8833,0.017,-0.017,142890.0,1170.0,-1170.0,68.48,19.41,-15.89,1194.0,,,481.48,402.75,-234.75,177.9,1.0,q1_q17_dr25_tce,6572.0,181.0,-227.0,4.208,0.175,-0.175,1.418,0.402,-0.329,292.7337,37.559311,17.637,2166200,,FALSE POSITIVE,FALSE POSITIVE
K03736.01,FALSE POSITIVE,FALSE POSITIVE,NOT_EXOPLANET,0.0013784368,0,3547315,,0.0,0,1,0,0,0.64234865,2.19e-07,-2.19e-07,131.911078,0.000365,-0.000365,0.966,0.911,-0.109,2.1184,0.0144,-0.0144,39597.0,164.0,-164.0,25.76,5.12,-2.77,1829.0,,,2653.37,1715.61,-818.36,231.7,1.0,q1_q17_dr25_tce,5441.0,189.0,-189.0,4.553,0.059,-0.119,0.791,0.157,-0.085,292.13733,38.602348,16.639,3547315,,FALSE POSITIVE,FALSE POSITIVE
K03737.01,FALSE POSITIVE,FALSE POSITIVE,NOT_EXOPLANET,0.00090981595,0,6933781,,0.0,0,1,0,0,130.4194187,0.0001751,-0.0001751,229.758424,0.000975,-0.000975,1.258,60.12,-0.118,4.165,0.052,-0.052,2290.9,30.9,-30.9,57.51,12.57,-18.84,473.0,,,11.79,7.72,-6.92,90.4,1.0,q1_q17_dr25_tce,5770.0,159.0,-130.0,3.946,0.315,-0.135,1.685,0.368,-0.552,286.69733,42.45116,11.241,6933781,,FALSE POSITIVE,FALSE POSITIVE
K03812.01,FALSE POSITIVE,FALSE POSITIVE,NOT_EXOPLANET,0.004753054,0,6148271,,0.0,0,0,1,0,1.78526527,4.198e-05,-4.198e-05,133.1265,0.0192,-0.0192,1.262,0.355,-0.202,6.2233,0.0691,-0.0691,1733.1,16.9,-16.9,41.19,14.36,-5.74,1815.0,,,2563.99,2633.55,-935.82,123.1,1.0,q1_q17_dr25_tce,6505.0,179.0,-246.0,4.342,0.087,-0.203,1.228,0.428,-0.171,298.22964,41.459839,14.026,6148271,,FALSE POSITIVE,FALSE POSITIVE
K03813.01,FALSE POSITIVE,FALSE POSITIVE,NOT_EXOPLANET,0.03084969,0,5386904,,1.0,0,0,1,0,4.8591441,0.0001155,-0.0001155,132.6666,0.0195,-0.0195,0.932,0.005,-0.009,3.8588,0.0867,-0.0867,2183.6,38.1,-38.1,6.9,2.23,-0.96,1303.0,,,681.41,636.46,-251.08,81.6,1.0,q1_q17_dr25_tce,6586.0,164.0,-258.0,4.361,0.07,-0.21,1.207,0.391,-0.168,297.94922,40.530708,14.113,5386904,,FALSE POSITIVE,FALSE POSITIVE
K03814.01,FALSE POSITIVE,FALSE POSITIVE,NOT_EXOPLANET,0.024328792,0,2997178,,0.0,0,0,1,0,5.95077813,1.26e-05,-1.26e-05,135.06469,0.00174,-0.00174,0.881,0.021,-0.614,5.6,0.126,-0.126,761.8,12.3,-12.3,32.26,11.13,-22.26,2366.0,,,7394.55,7123.11,-6794.35,71.9,1.0,q1_q17_dr25_tce,5122.0,106.0,-212.0,2.886,0.585,-0.195,9.828,3.39,-6.781,293.0748,38.16972,12.861,2997178,,FALSE POSITIVE,FALSE POSITIVE
K02048.02,FALSE POSITIVE,FALSE POSITIVE,NOT_EXOPLANET,0.015968395,0,8956206,,,0,0,1,0,99.673478,0.0003463,-0.0003463,219.33483,0.0023,-0.0023,11.6846,1.516,-10.45,0.968,0.179,-0.179,2496.0,264.0,-264.0,576.14,30.44,-31.62,262.0,,,1.11,0.27,-0.23,12.6,2.0,q1_q17_dr24_tce,4932.0,145.0,-148.0,4.777,0.04,-0.027,0.492,0.026,-0.027,293.05801,45.248821,15.801,8956206,,FALSE POSITIVE,FALSE POSITIVE
K03815.01,CANDIDATE,CANDIDATE,CANDIDATE,0.9958729,1,6507433,,1.0,0,0,0,0,4.7425521,2.574e-05,-2.574e-05,133.13755,0.00472,-0.00472,0.851,0.091,-0.616,1.11,0.149,-0.149,3583.0,488.0,-488.0,7.27,2.47,-0.82,1159.0,,,426.49,438.63,-143.72,10.9,1.0,q1_q17_dr25_tce,6161.0,193.0,-258.0,4.454,0.054,-0.229,1.053,0.357,-0.119,286.50876,41.922741,15.432,6507433,,CANDIDATE,CANDIDATE
K03888.01,FALSE POSITIVE,FALSE POSITIVE,NOT_EXOPLANET,0.0004349231,0,8260198,,0.0,0,1,1,0,0.955297055,8.13e-07,-8.13e-07,132.179352,0.000683,-0.000683,1.193,2.539,-0.039,1.7405,0.0376,-0.0376,846.1,15.5,-15.5,18.16,2.08,-2.08,1550.0,,,1367.42,543.24,-417.66,67.3,1.0,q1_q17_dr25_tce,5319.0,159.0,-159.0,4.548,0.096,-0.064,0.734,0.084,-0.084,299.78207,44.19981,15.45,8260198,,FALSE POSITIVE,FALSE POSITIVE
K03889.01,FALSE POSITIVE,FALSE POSITIVE,NOT_EXOPLANET,0.0022300591,0,10733174,,0.0,0,1,1,0,280.476576,0.007479,-0.007479,299.3871,0.0191,-0.0191,0.974,6.665,-0.018,32.24,1.0,-1.0,651.2,22.1,-22.1,3.16,0.92,-0.31,268.0,,,1.22,1.03,-0.33,38.7,1.0,q1_q17_dr25_tce,5869.0,147.0,-161.0,4.528,0.037,-0.213,0.892,0.261,-0.087,292.61954,48.081478,13.608,10733174,,FALSE POSITIVE,FALSE POSITIVE
K03890.01,FALSE POSITIVE,FALSE POSITIVE,NOT_EXOPLANET,0.019660834,0,8564976,,1.0,0,1,0,0,152.8255989,0.0007133,-0.0007133,197.41339,0.0041,-0.0041,0.409,0.041,-0.365,22.688,0.195,-0.195,2173.5,24.5,-24.5,34.85,1.92,-7.72,734.0,,,68.47,13.17,-31.27,98.9,1.0,q1_q17_dr25_tce,4991.0,86.0,-135.0,2.933,0.03,-0.03,7.506,0.415,-1.661,293.77213,44.63847,13.226,8564976,,FALSE POSITIVE,FALSE POSITIVE
K03891.01,CANDIDATE,CANDIDATE,CANDIDATE,0.98629355,1,8765560,,1.0,0,0,0,0,47.1096306,0.000194,-0.000194,144.13172,0.00343,-0.00343,1.23,6.923,-0.605,5.741,0.172,-0.172,752.2,22.2,-22.2,78.98,30.94,-57.45,751.0,,,75.4,89.11,-70.44,35.1,1.0,q1_q17_dr25_tce,5258.0,159.0,-159.0,3.597,0.968,-0.242,2.78,1.089,-2.022,296.15601,44.92009,13.731,8765560,,CANDIDATE,CANDIDATE
K03892.01,CONFIRMED,CANDIDATE,CONFIRMED_EXOPLANET,0.99943715,1,11760860,Kepler-1525 b,1.0,0,0,0,0,2.41660149,5.23e-06,-5.23e-06,131.53713,0.00178,-0.00178,0.035,0.406,-0.035,1.9699,0.0554,-0.0554,83.6,2.9,-2.9,0.92,0.15,-0.06,1343.0,,,770.05,333.38,-155.62,33.7,1.0,q1_q17_dr25_tce,5705.0,103.0,-125.0,4.444,0.04,-0.128,1.026,0.159,-0.068,290.55951,49.943008,12.737,11760860,Kepler-1525 b,CONFIRMED,CANDIDATE
K03661.01,FALSE POSITIVE,FALSE POSITIVE,NOT_EXOPLANET,0.00013254328,0,7910148,,0.0,0,1,1,0,4.252082243,1.158e-06,-1.158e-06,134.299947,0.000223,-0.000223,1.268,0.151,-0.097,2.7543,0.0123,-0.0123,8290.5,40.6,-40.6,33.14,5.97,-4.34,1064.0,,,303.48,177.62,-103.01,254.8,1.0,q1_q17_dr25_tce,5802.0,191.0,-191.0,4.492,0.13,-0.13,0.794,0.143,-0.104,297.64441,43.632172,15.286,7910148,,FALSE POSITIVE,FALSE POSITIVE
K03662.01,FALSE POSITIVE,FALSE POSITIVE,NOT_EXOPLANET,0.0067732786,0,12459731,,0.0,0,1,0,0,14.180228311,7.688e-06,-7.688e-06,143.127623,0.000597,-0.000597,0.795,0.072,-0.058,4.5344,0.0113,-0.0113,172740.0,410.0,-410.0,62.41,19.29,-10.39,873.0,,,137.11,128.71,-55.62,472.3,1.0,q1_q17_dr25_tce,6289.0,197.0,-241.0,4.33,0.124,-0.186,1.142,0.353,-0.19,291.05017,51.321751,17.427,12459731,,FALSE POSITIVE,FALSE POSITIVE
K03663.01,CONFIRMED,CANDIDATE,CONFIRMED_EXOPLANET,0.99129206,1,12735740,Kepler-86 b,0.963,0,0,0,0,282.5253558,0.0001219,-0.0001219,363.071925,0.000289,-0.000289,0.248,0.05,-0.075,10.7965,0.0292,-0.0292,9746.4,16.7,-16.7,8.98,1.31,-0.47,264.0,,,1.15,0.47,-0.2,696.0,1.0,q1_q17_dr25_tce,5725.0,102.0,-113.0,4.506,0.038,-0.113,0.913,0.133,-0.048,289.76361,51.962601,12.62,12735740,Kepler-86 b,CONFIRMED,CANDIDATE
